user_pseudo_id,hostname,page_location,event_date,user_first_touch_timestamp,event_timestamp,event_name,event_category,event_label,event_value
1215817493.1637806498,hubmapconsortium.github.io,https://hubmapconsortium.github.io/ccf-asct-reporter/,20211124,1637806498221402,1637806498221402,first_visit,,,
1215817493.1637806498,hubmapconsortium.github.io,https://hubmapconsortium.github.io/ccf-asct-reporter/,20211124,1637806498221402,1637806498221402,session_start,,,
1215817493.1637806498,hubmapconsortium.github.io,https://hubmapconsortium.github.io/ccf-asct-reporter/,20211124,1637806498221402,1637806498221402,page_view,,,
1215817493.1637806498,hubmapconsortium.github.io,https://hubmapconsortium.github.io/ccf-asct-reporter/,20211124,1637806498221402,1637806514455670,home_video_section,home,home_video_section: Jump to video section,
1215817493.1637806498,hubmapconsortium.github.io,https://hubmapconsortium.github.io/ccf-asct-reporter/,20211124,1637806498221402,1637806526525025,scroll,,,
1215817493.1637806498,hubmapconsortium.github.io,https://hubmapconsortium.github.io/ccf-asct-reporter/,20211124,1637806498221402,1637806533036986,home_link_click,home,home_link_click: Open Master Tables,
1215817493.1637806498,hubmapconsortium.github.io,https://hubmapconsortium.github.io/ccf-asct-reporter/,20211124,1637806498221402,1637806578615492,home_link_click,home,home_link_click: Open Docs,
1215817493.1637806498,hubmapconsortium.github.io,https://hubmapconsortium.github.io/ccf-asct-reporter/docs,20211124,1637806498221402,1637806578615492,page_view,,,
1215817493.1637806498,hubmapconsortium.github.io,https://hubmapconsortium.github.io/ccf-asct-reporter/docs/introduction,20211124,1637806498221402,1637806578615492,page_view,,,
1215817493.1637806498,hubmapconsortium.github.io,https://hubmapconsortium.github.io/ccf-asct-reporter/docs/introduction,20211124,1637806498221402,1637806578615492,page_view,,,
1215817493.1637806498,hubmapconsortium.github.io,https://hubmapconsortium.github.io/ccf-asct-reporter/docs/introduction,20211124,1637806498221402,1637806592739093,docs_link_click,docs,docs_link_click: Back to Latest Release,
1215817493.1637806498,hubmapconsortium.github.io,https://hubmapconsortium.github.io/ccf-asct-reporter/,20211124,1637806498221402,1637806592739093,page_view,,,
1215817493.1637806498,hubmapconsortium.github.io,https://hubmapconsortium.github.io/ccf-asct-reporter/,20211124,1637806498221402,1637806592739093,page_view,,,
